Title,Link,Rating,Quote
情书,https://movie.douban.com/subject/1292220/,8.9,暗恋的极致。
两杆大烟枪,https://movie.douban.com/subject/1293350/,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,https://movie.douban.com/subject/1292402/,8.9,美丽无罪。
看不见的客人,https://movie.douban.com/subject/26580232/,8.8,你以为你以为的就是你以为的。
音乐之声,https://movie.douban.com/subject/1294408/,9.1,用音乐化解仇恨，让歌声串起美好。
阿凡达,https://movie.douban.com/subject/1652587/,8.8,绝对意义上的美轮美奂。
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,9.1,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,9.0,10年的完美句点。
飞越疯人院,https://movie.douban.com/subject/1292224/,9.1,自由万岁。
小鞋子,https://movie.douban.com/subject/1303021/,9.2,奔跑的孩子是天使。
沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,8.9,小清新的故事里注入了大历史的情怀。
禁闭岛,https://movie.douban.com/subject/2334904/,8.9,昔日翩翩少年，今日大腹便便。
功夫,https://movie.douban.com/subject/1291543/,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
蝴蝶效应,https://movie.douban.com/subject/1292343/,8.9,人的命运被自己瞬间的抉择改变。
致命魔术,https://movie.douban.com/subject/1780330/,8.9,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,8.9,不一样的导演，不一样的哈利·波特。
心灵捕手,https://movie.douban.com/subject/1292656/,8.9,人生中应该拥有这样的一段豁然开朗。
超脱,https://movie.douban.com/subject/5322596/,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾,https://movie.douban.com/subject/3442220/,9.3,海豚的微笑，是世界上最高明的伪装。
低俗小说,https://movie.douban.com/subject/1291832/,8.9,故事的高级讲法。
春光乍泄,https://movie.douban.com/subject/1292679/,9.0,爱情纠缠，男女一致。
摩登时代,https://movie.douban.com/subject/1294371/,9.3,大时代中的人生，小人物的悲喜。
美国往事,https://movie.douban.com/subject/1292262/,9.2,往事如烟，无处祭奠。
喜剧之王,https://movie.douban.com/subject/1302425/,8.8,我是一个演员。
致命ID,https://movie.douban.com/subject/1297192/,8.9,最不可能的那个人永远是最可能的。
杀人回忆,https://movie.douban.com/subject/1300299/,8.9,关于连环杀人悬案的集体回忆。
七宗罪,https://movie.douban.com/subject/1292223/,8.8,警察抓小偷，老鼠玩死猫。
红辣椒,https://movie.douban.com/subject/1865703/,9.1,梦的勾结。
加勒比海盗,https://movie.douban.com/subject/1298070/,8.8,约翰尼·德普的独角戏。
哈利·波特与密室,https://movie.douban.com/subject/1296996/,8.9,魔法的密室之门已打开...
一一,https://movie.douban.com/subject/1292434/,9.1,我们都曾经是一一。
狩猎,https://movie.douban.com/subject/6985810/,9.1,人言可畏。
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,8.7,华太师是黄霑，吴镇宇四大才子之一。
